"も",茂,"Luxuriant"
"はん",繁,"Overgrown"
"ひん",頻,"Frequent"
"しょく",殖,"Multiply"
"はく",薄,"Dilute"
"しょう",衝,"Collide"
"よ",誉,"Honor"
"ほう",褒,"Praise"
"とう",透,"Transparent"
"りん",隣,"Neighbor"
"が",雅,"Elegant"
"き",嬉,"Glad"
"くし",串,"Skewer"
"うわさ",噂,"Rumor"
"ひざ",膝,"Knee"
"み",眉,"Eyebrows"
"そう",痩,"Thin"
"よう",妖,"Supernatural"
"しゃべ",喋,"Chat"
"さけ",鮭,"Salmon"
"あて",宛,"Address"
